Sample,X,Y,Z
369,0.035,-0.043,1.992
370,0.457,-0.352,1.234
371,-1.156,-0.254,0.246
372,-0.527,-0.125,0.352
373,0.512,-0.270,0.422
374,-0.574,-0.270,1.184
375,-0.355,-0.270,1.484
376,0.137,-0.277,0.855
377,0.031,-0.059,1.000
378,0.340,0.156,0.297
379,0.203,0.105,-0.105
380,-0.113,0.086,1.250
381,-0.551,0.293,1.992
382,-0.070,0.137,1.445
383,1.105,0.086,0.637
384,0.621,0.223,0.727
385,-0.383,0.117,0.621
386,-0.418,0.062,1.242
387,-0.207,0.160,1.992
388,0.430,0.066,1.457
389,0.176,0.086,0.293
390,-0.359,0.113,0.398
391,-0.055,0.105,0.652
392,0.148,0.172,1.105
393,0.105,0.086,1.402
394,-0.289,0.102,0.867
395,0.371,0.000,0.938
396,0.453,-0.066,1.211
397,-0.152,-0.098,0.660
398,-0.043,-0.238,0.207
399,0.004,0.066,1.141
400,-0.031,0.316,1.973
401,-0.074,0.141,1.441
402,-0.125,-0.148,0.445
403,-0.355,-0.277,-0.066
404,-0.195,-0.125,0.590
405,0.059,0.105,1.934
406,-0.129,-0.047,1.496
407,-0.453,-0.496,-0.793
408,-0.543,-0.414,-0.453
409,-0.273,0.082,1.633
410,0.344,0.391,1.992
411,0.500,-0.062,0.711
412,-0.238,-0.297,-0.910
413,-0.270,-0.082,0.387
414,0.023,0.379,1.965
415,0.535,0.402,1.801
416,0.523,-0.023,0.301
417,-0.414,-0.234,-0.555
418,-0.285,-0.105,0.652
419,0.625,0.301,1.988
420,0.789,0.133,1.090
421,-0.445,0.004,0.133
422,-1.227,0.070,0.805
423,0.098,0.215,1.949
424,1.312,0.047,1.414
425,-0.105,0.020,0.141
426,-1.168,0.137,0.059
427,-0.457,0.223,1.617
428,0.727,0.098,1.699
429,0.645,-0.129,0.680
430,-0.762,-0.113,0.750
431,-0.742,-0.027,1.332
432,0.844,-0.102,0.723
433,0.957,-0.059,0.656
434,-0.676,0.074,1.477
435,-0.777,0.035,1.305
436,0.438,-0.285,0.066
437,0.387,-0.156,0.445
438,-0.184,0.066,1.820
439,-0.555,-0.062,1.262
440,-0.160,-0.164,0.547
441,-0.016,0.055,1.145
442,-0.121,0.055,1.203
443,0.270,-0.180,0.410
444,-0.387,-0.184,0.457
445,-0.391,0.129,1.871
446,0.773,0.066,1.684
447,0.488,-0.371,-0.789
448,-0.496,-0.227,-0.941
449,-0.648,0.355,1.727
450,-0.059,0.359,1.875
451,0.625,-0.082,0.098
452,0.426,0.027,0.230
453,-0.359,0.184,1.066
454,-0.633,0.027,0.598
455,-0.012,0.117,1.102
456,0.402,0.305,1.871
457,-0.004,0.188,1.109
458,-0.141,-0.035,0.383
459,0.102,-0.008,0.949
460,0.734,0.133,1.520
461,0.555,0.059,0.828
462,-0.609,0.125,0.535
463,-1.062,0.145,1.340
464,-0.254,0.023,1.820
465,1.055,-0.207,1.062
466,0.660,-0.230,0.422
467,-0.715,-0.051,0.441
468,-0.746,0.062,1.105
469,0.059,-0.004,1.512
470,0.316,-0.316,0.781
471,-0.664,-0.551,0.203
472,-1.160,-0.305,0.742
473,0.297,-0.082,1.129
474,1.039,0.035,0.789
475,-0.230,0.262,1.180
476,-1.137,0.301,1.375
477,-0.395,0.023,0.750
478,0.758,-0.074,0.871
479,0.758,-0.074,0.871
480,0.598,0.180,1.973
481,-0.430,0.215,1.109
482,-0.254,0.059,0.137
483,0.230,0.098,0.672
484,-0.035,0.090,1.250
485,0.051,-0.078,1.832
486,0.039,-0.219,1.223
487,0.094,-0.254,0.129
488,0.086,0.027,0.211
489,-0.070,0.164,0.578
490,0.137,0.035,1.383
491,0.004,0.031,1.871
492,0.000,-0.039,1.191
493,0.004,-0.004,0.590
494,-0.023,0.086,0.379
495,0.301,0.047,0.602
496,0.355,-0.023,1.465
497,-0.430,0.004,1.992
498,-0.375,-0.062,1.246
499,0.352,0.031,0.223
500,0.273,0.207,0.523
501,-0.168,0.270,1.074
502,-0.094,0.129,1.172
503,-0.066,0.055,1.414
504,-0.121,0.047,1.375
505,-0.086,-0.086,0.188
506,0.043,-0.074,-0.270
507,0.027,-0.008,1.344
508,-0.215,-0.027,1.777
509,-0.023,-0.273,0.574
510,-0.105,-0.059,0.785
511,-0.344,0.191,1.133
512,-0.078,0.234,1.203
513,0.309,-0.020,1.746
514,0.102,-0.344,1.090
515,-0.656,-0.254,0.238
516,-0.770,0.215,1.305
517,0.227,0.352,1.672
518,0.398,-0.086,0.277
519,-0.031,-0.414,0.195
520,-0.121,-0.406,1.047
521,-0.035,-0.133,1.184
522,0.418,0.078,1.086
523,0.168,0.164,0.629
524,-0.203,0.023,0.855
525,-0.070,-0.152,1.145
526,0.109,-0.004,0.730
527,0.586,0.469,1.012
528,0.441,0.719,1.855
529,-0.406,0.352,1.320
530,-0.434,-0.074,0.676
531,-0.137,-0.051,1.324
532,-0.184,0.070,1.133
533,-0.102,0.004,-0.012
534,-0.270,0.051,0.594
535,0.078,0.059,1.945
